Wall time,Step,Value
1695684990.9765034,0,-161.99008178710938
1695684995.3106577,1,-167.34751892089844
1695684998.4265656,2,-219.34707641601562
1695685001.3357518,3,-210.7982940673828
1695685004.0978057,4,-193.33895874023438
1695685006.83989,5,-125.20274353027344
1695685009.641799,6,-275.2891540527344
1695685013.9557934,7,-180.02784729003906
1695685017.0830495,8,-226.39794921875
1695685019.9586613,9,-154.90087890625
1695685022.8971622,10,-212.70318603515625
1695685025.8064995,11,-169.64468383789062
1695685028.8786674,12,-146.4496612548828
1695685032.1934457,13,-194.138427734375
1695685035.3846822,14,-371.40203857421875
1695685038.5597637,15,-218.8420867919922
1695685041.8688147,16,-117.09626770019531
1695685044.870778,17,-206.2909698486328
1695685048.2177315,18,-64.68302154541016
1695685052.5598307,19,-256.96929931640625
1695685055.7642007,20,-208.54576110839844
1695685062.4231904,21,-143.86973571777344
1695685066.9333522,22,-277.3899841308594
1695685074.8973498,23,-223.24700927734375
1695685079.817035,24,28.378768920898438
1695685085.5473096,25,-187.73098754882812
1695685091.0267923,26,-224.49073791503906
1695685097.1782365,27,-3.1245079040527344
1695685103.3912458,28,-170.6235809326172
1695685110.740939,29,-113.53369140625
1695685114.5835776,30,-132.10687255859375
1695685121.2466779,31,-146.97119140625
1695685126.3963983,32,-142.0803985595703
1695685130.7492812,33,-229.5787353515625
1695685136.442852,34,5.206964015960693
1695685140.45966,35,-74.11316680908203
1695685146.8079646,36,-120.8132553100586
1695685155.1040268,37,86.84991455078125
1695685158.9187102,38,-55.15534973144531
1695685167.2872891,39,-57.41964340209961
1695685175.7820976,40,-72.61065673828125
1695685179.6849432,41,-187.49282836914062
1695685184.0594156,42,-152.8020477294922
1695685190.597473,43,-175.45343017578125
1695685194.3089182,44,-66.1065902709961
1695685199.4391098,45,-262.688720703125
1695685204.3729897,46,-209.12997436523438
1695685210.118375,47,-181.06350708007812
1695685213.9989035,48,-227.84579467773438
1695685218.517685,49,-140.56930541992188
1695685222.2909558,50,-205.4985809326172
1695685225.9385512,51,-181.79827880859375
1695685230.5729613,52,-137.937255859375
1695685237.9883013,53,-158.46640014648438
1695685242.3368964,54,-84.65264129638672
1695685246.2913153,55,-155.8568115234375
1695685250.9907305,56,-98.14715576171875
1695685255.4926424,57,-244.85279846191406
1695685260.471026,58,-116.38990020751953
1695685264.4232285,59,-113.62547302246094
1695685269.4078584,60,110.91719818115234
1695685273.9732606,61,-71.55188751220703
1695685277.5420544,62,-226.84205627441406
1695685280.9104846,63,-58.419464111328125
1695685284.569918,64,-107.66507720947266
1695685288.8549607,65,-267.6622009277344
1695685293.0152907,66,-222.70907592773438
1695685296.9740663,67,-206.50567626953125
1695685301.742201,68,5.284910202026367
1695685305.4601872,69,-204.70050048828125
1695685310.3437917,70,-130.92672729492188
1695685314.4718485,71,-134.01705932617188
1695685320.2286615,72,-132.60107421875
1695685323.6881251,73,-23.683456420898438
1695685327.6425006,74,-129.0322723388672
1695685332.1583786,75,-238.87522888183594
1695685335.8434918,76,-116.22161102294922
1695685342.443674,77,-61.65180969238281
1695685346.5767677,78,-256.78912353515625
1695685352.9250047,79,18.584228515625
1695685360.4132915,80,-55.50722122192383
1695685364.5912812,81,-167.38890075683594
1695685369.1497293,82,58.88139343261719
1695685373.7554443,83,-102.328369140625
1695685377.470607,84,-32.59366989135742
1695685384.057645,85,-154.10604858398438
1695685388.8816276,86,-131.80593872070312
1695685392.134995,87,-11.129375457763672
1695685396.5213597,88,-146.55258178710938
1695685400.2288594,89,-64.30427551269531
1695685405.2625518,90,-148.5834503173828
1695685409.1145148,91,-145.8481903076172
1695685413.5166273,92,-214.3214569091797
1695685418.3318837,93,197.19508361816406
1695685424.236615,94,-1.7664337158203125
1695685427.7659974,95,-122.24372863769531
1695685432.9657955,96,-47.92493438720703
1695685437.7403874,97,-167.10345458984375
1695685442.7810898,98,-100.58544921875
1695685449.093252,99,-19.398752212524414
1695685454.3786724,100,-199.5589141845703
1695685459.8273785,101,-16.6275634765625
1695685463.800854,102,-173.5953826904297
1695685471.6394682,103,6.88090705871582
1695685475.2906456,104,-80.25907897949219
1695685480.8098874,105,-117.75140380859375
1695685484.3727217,106,-111.93113708496094
1695685488.0292015,107,-86.68980407714844
1695685492.0298564,108,-101.2602310180664
1695685496.5406666,109,128.57638549804688
1695685501.919981,110,-46.981056213378906
1695685507.6519308,111,-25.97162628173828
1695685511.8806195,112,-30.606098175048828
1695685517.7621083,113,-22.556970596313477
1695685524.0508876,114,-105.07150268554688
1695685529.0754478,115,-127.59654235839844
1695685534.4622126,116,188.93954467773438
1695685539.4427478,117,229.97288513183594
1695685544.7838411,118,-142.10977172851562
1695685548.8529837,119,-246.87510681152344
1695685552.5818324,120,-23.947025299072266
1695685556.593535,121,-186.73374938964844
1695685560.9398046,122,-194.00271606445312
1695685565.0199714,123,13.627288818359375
1695685569.7321827,124,22.5511417388916
1695685575.267887,125,-200.28982543945312
1695685578.6951234,126,-137.46286010742188
1695685582.3848126,127,-201.81243896484375
1695685587.740661,128,-35.97666549682617
1695685591.9418972,129,-34.70100402832031
1695685596.3276026,130,-125.10564422607422
1695685600.3253496,131,-190.98707580566406
1695685605.3596122,132,-201.2006378173828
1695685609.1650422,133,-115.17312622070312
1695685613.3829212,134,-15.598657608032227
1695685617.005687,135,-69.69998168945312
1695685621.0193303,136,-72.28579711914062
1695685624.7928677,137,-106.71002197265625
1695685629.6572325,138,-211.6343231201172
1695685633.9836526,139,72.4717025756836
1695685637.828248,140,-159.22412109375
1695685641.6507552,141,-182.98675537109375
1695685646.6411784,142,-34.48809051513672
1695685650.4395401,143,-198.56488037109375
1695685654.2134545,144,-55.905582427978516
1695685658.073903,145,-103.02528381347656
1695685664.0349023,146,240.959228515625
1695685669.0889301,147,-82.40424346923828
1695685673.303491,148,-205.39109802246094
1695685678.214589,149,-135.01039123535156
1695685681.6791162,150,-111.12438201904297
1695685685.7155557,151,-89.64812469482422
1695685689.7053604,152,202.48779296875
1695685695.3253918,153,34.944889068603516
1695685700.095402,154,-33.7603759765625
1695685703.789582,155,-7.216915130615234
1695685707.3391018,156,-98.58238220214844
1695685712.9613187,157,73.9437026977539
1695685716.1888912,158,-96.33248901367188
1695685720.0453959,159,-124.54656219482422
1695685723.768629,160,-191.8272247314453
1695685729.2880247,161,-40.774269104003906
1695685733.6409695,162,-150.91758728027344
1695685737.1331,163,-128.55819702148438
1695685741.389117,164,-239.45791625976562
1695685745.0012777,165,-205.3142547607422
1695685749.7655983,166,-127.63775634765625
1695685754.2190154,167,-109.54462432861328
1695685758.2814224,168,-131.4269256591797
1695685762.996671,169,-55.69462966918945
1695685767.2527199,170,253.18589782714844
1695685771.7661989,171,31.605737686157227
1695685775.932686,172,-143.13357543945312
1695685780.1333282,173,-134.57093811035156
1695685784.5189097,174,-22.00745391845703
1695685788.2575896,175,-109.07003784179688
1695685794.0180242,176,186.25927734375
1695685798.724231,177,-80.01913452148438
1695685802.169683,178,-102.23928833007812
1695685806.4178839,179,3.1439666748046875
1695685810.31375,180,-149.30465698242188
1695685814.4273276,181,-79.28461456298828
1695685818.8393805,182,-140.80751037597656
1695685823.0623074,183,42.10486602783203
1695685828.3378801,184,-187.9291534423828
1695685831.8791275,185,-87.41064453125
1695685836.361629,186,109.81519317626953
1695685843.6170578,187,3.0858230590820312
1695685847.29089,188,-161.83184814453125
1695685851.3356721,189,-137.389404296875
