Wall time,Step,Value
1695689752.1730983,0,37.272727966308594
1695689754.717713,1,33.66666793823242
1695689757.224955,2,37.3636360168457
1695689759.7316504,3,61.71428680419922
1695689762.288918,4,76.0
1695689764.8008094,5,43.599998474121094
1695689767.312561,6,46.22222137451172
1695689769.8929508,7,61.375
1695689772.4229813,8,95.5999984741211
1695689774.9365604,9,93.80000305175781
1695689777.5282624,10,100.25
1695689780.0876215,11,147.75
1695689782.639519,12,154.6666717529297
1695689785.212409,13,134.25
1695689787.8128307,14,147.75
1695689790.4444535,15,149.25
1695689792.995856,16,133.6666717529297
1695689795.4756107,17,200.0
1695689798.047416,18,149.0
1695689800.6621943,19,161.6666717529297
1695689803.2135396,20,157.3333282470703
1695689805.696885,21,153.3333282470703
1695689808.2597158,22,174.3333282470703
1695689810.8484223,23,138.0
1695689813.5885193,24,173.0
1695689816.1668806,25,179.3333282470703
1695689818.708148,26,147.3333282470703
1695689821.291842,27,152.0
1695689823.877854,28,149.3333282470703
1695689826.3254478,29,135.6666717529297
1695689828.8807077,30,142.0
1695689831.432937,31,135.0
1695689833.978674,32,125.0
1695689836.5104504,33,104.5
1695689838.9759429,34,102.25
1695689841.5150359,35,122.25
1695689843.9995039,36,139.3333282470703
1695689846.5249448,37,169.0
1695689849.1415672,38,189.0
1695689851.6196535,39,200.0
1695689854.4738061,40,200.0
1695689857.2502298,41,200.0
1695689859.922003,42,200.0
1695689862.4845655,43,158.6666717529297
1695689865.083286,44,180.0
1695689867.5558512,45,116.75
1695689870.069367,46,150.3333282470703
1695689872.595792,47,110.25
1695689875.1261778,48,141.6666717529297
1695689877.6421075,49,179.6666717529297
1695689880.682335,50,185.6666717529297
1695689884.2463837,51,146.0
1695689887.3001451,52,200.0
1695689890.868726,53,164.0
1695689894.040263,54,200.0
1695689896.9038682,55,200.0
1695689899.694824,56,200.0
1695689902.4136972,57,195.6666717529297
1695689905.1044805,58,200.0
1695689907.8067656,59,173.3333282470703
1695689910.4728174,60,141.3333282470703
1695689913.4060106,61,173.6666717529297
1695689916.0965824,62,98.5999984741211
1695689918.736003,63,149.6666717529297
1695689921.4630244,64,129.25
1695689924.0855453,65,87.0
1695689926.7804708,66,120.75
1695689929.60902,67,149.0
1695689932.7874446,68,137.75
1695689935.4350219,69,122.0
1695689938.2481682,70,200.0
1695689941.5211513,71,156.0
1695689944.644163,72,179.3333282470703
1695689947.3868613,73,157.3333282470703
1695689950.2601764,74,193.6666717529297
1695689952.9668493,75,200.0
1695689955.986819,76,200.0
1695689958.9096618,77,200.0
1695689961.8601017,78,200.0
1695689964.596523,79,200.0
1695689967.3167596,80,200.0
1695689970.0120394,81,200.0
1695689973.1675713,82,195.0
1695689975.9143896,83,198.3333282470703
1695689978.74295,84,200.0
1695689981.5664349,85,188.0
1695689984.3510313,86,185.0
1695689987.4950984,87,186.3333282470703
1695689990.2892861,88,178.6666717529297
1695689992.9916286,89,169.6666717529297
1695689995.7511425,90,171.6666717529297
1695689998.5579822,91,197.0
1695690001.4018695,92,179.3333282470703
1695690004.1514642,93,163.6666717529297
1695690006.8539016,94,181.6666717529297
1695690009.5662136,95,169.3333282470703
1695690012.4696805,96,185.6666717529297
1695690015.213669,97,171.6666717529297
1695690018.032354,98,180.3333282470703
1695690020.7838337,99,166.0
