Wall time,Step,Value
1695682433.594853,0,31.30769157409668
1695682434.4720736,1,35.58333206176758
1695682435.3862565,2,47.0
1695682436.2591493,3,80.19999694824219
1695682437.118116,4,57.14285659790039
1695682437.9831913,5,80.19999694824219
1695682438.9257007,6,87.0
1695682440.1055708,7,75.16666412353516
1695682441.2216644,8,109.5
1695682442.5047112,9,103.0
1695682443.640476,10,142.75
1695682444.761474,11,200.0
1695682445.7249198,12,131.0
1695682446.625319,13,103.25
1695682447.5565057,14,133.0
1695682448.4476707,15,82.19999694824219
1695682449.629811,16,126.0
1695682450.7578275,17,100.75
1695682451.7709928,18,111.75
1695682452.7963402,19,115.75
1695682453.7632964,20,130.5
1695682454.76834,21,117.75
1695682455.7651043,22,159.0
1695682456.7867134,23,176.3333282470703
1695682458.0024757,24,188.0
1695682459.2349992,25,199.0
1695682460.4379005,26,189.6666717529297
1695682461.5042922,27,184.3333282470703
1695682462.6040583,28,143.0
1695682463.6605253,29,200.0
1695682464.9190226,30,189.3333282470703
1695682466.0242474,31,200.0
1695682467.256954,32,200.0
1695682468.446969,33,200.0
1695682469.533841,34,200.0
1695682470.5634074,35,200.0
1695682471.5570323,36,200.0
1695682472.4972517,37,200.0
1695682473.566555,38,200.0
1695682474.7102098,39,200.0
1695682475.7118595,40,200.0
1695682476.7611508,41,200.0
1695682477.981999,42,200.0
1695682479.2766268,43,200.0
1695682480.4798121,44,200.0
1695682481.6384513,45,200.0
1695682482.6844702,46,200.0
1695682483.7076347,47,200.0
1695682484.6549706,48,200.0
1695682485.7165067,49,200.0
1695682486.6528256,50,200.0
1695682487.6044424,51,200.0
1695682488.4687355,52,200.0
1695682489.3957546,53,200.0
1695682490.6949196,54,129.75
1695682491.860932,55,113.25
1695682493.0209494,56,87.5999984741211
1695682494.0544908,57,68.0
1695682494.9479377,58,41.0
1695682495.9991555,59,33.58333206176758
1695682496.9671588,60,31.230770111083984
1695682498.0513303,61,33.153846740722656
1695682499.1794734,62,31.30769157409668
1695682500.2334726,63,29.571428298950195
1695682501.1551614,64,28.600000381469727
1695682502.2791665,65,29.14285659790039
1695682503.2979686,66,31.69230842590332
1695682504.2412777,67,29.64285659790039
1695682505.238938,68,29.214284896850586
1695682506.2343965,69,29.35714340209961
1695682507.224218,70,31.769229888916016
1695682508.1844585,71,29.285715103149414
1695682509.1326497,72,33.91666793823242
1695682510.1094782,73,33.30769348144531
1695682511.1301727,74,44.54545593261719
1695682512.0647445,75,85.4000015258789
1695682513.1495645,76,98.19999694824219
1695682514.2661698,77,106.75
1695682515.1413248,78,103.75
1695682516.0637586,79,113.5
1695682516.9652848,80,119.0
1695682517.938509,81,123.25
1695682518.928631,82,128.5
1695682519.8390338,83,146.3333282470703
1695682520.7385268,84,172.0
1695682521.6926737,85,173.3333282470703
1695682522.6855965,86,176.6666717529297
1695682523.6352012,87,175.6666717529297
1695682524.5772655,88,181.0
1695682525.5466747,89,193.6666717529297
1695682526.535662,90,184.0
1695682527.5575163,91,197.0
1695682528.539739,92,200.0
1695682529.4680028,93,200.0
1695682530.4609225,94,197.6666717529297
1695682531.41792,95,200.0
1695682532.5334594,96,193.0
1695682533.614568,97,184.0
1695682534.703836,98,183.3333282470703
1695682535.818511,99,162.0
