Wall time,Step,Value
1695690146.2516692,0,40.90909194946289
1695690148.8856485,1,50.44444274902344
1695690151.4540284,2,41.727272033691406
1695690154.0084708,3,75.16666412353516
1695690156.5549731,4,59.85714340209961
1695690159.0736878,5,146.6666717529297
1695690161.7115457,6,88.80000305175781
1695690164.2712371,7,87.19999694824219
1695690166.8652618,8,81.5
1695690169.9089026,9,96.0
1695690172.5127287,10,140.0
1695690175.0955415,11,135.6666717529297
1695690177.6767418,12,138.3333282470703
1695690180.2131002,13,200.0
1695690182.94373,14,168.0
1695690185.5981815,15,161.0
1695690188.4011059,16,200.0
1695690191.1487918,17,131.75
1695690193.73942,18,138.3333282470703
1695690196.3801885,19,156.0
1695690198.9878218,20,172.3333282470703
1695690201.5472908,21,200.0
1695690204.9059548,22,200.0
1695690207.4637363,23,200.0
1695690209.976046,24,200.0
1695690212.5303917,25,200.0
1695690215.0341573,26,200.0
1695690217.596216,27,200.0
1695690220.1111693,28,200.0
1695690222.690504,29,200.0
1695690225.230692,30,200.0
1695690227.7215755,31,200.0
1695690230.296016,32,200.0
1695690232.9133766,33,200.0
1695690235.4932492,34,186.3333282470703
1695690238.1388984,35,200.0
1695690240.6765854,36,200.0
1695690243.2639022,37,141.6666717529297
1695690245.8050714,38,200.0
1695690248.4073348,39,156.6666717529297
1695690251.0220337,40,200.0
1695690253.6534345,41,200.0
1695690256.2169328,42,200.0
1695690258.8240979,43,200.0
1695690261.4387825,44,200.0
1695690263.997484,45,200.0
1695690266.478136,46,200.0
1695690269.0099785,47,200.0
1695690271.4968743,48,200.0
1695690274.0971706,49,200.0
1695690276.596292,50,200.0
1695690279.195982,51,200.0
1695690281.799078,52,200.0
1695690284.3921447,53,200.0
1695690286.9312809,54,200.0
1695690289.44694,55,200.0
1695690291.970195,56,200.0
1695690294.6063762,57,200.0
1695690297.2070258,58,200.0
1695690299.8191926,59,198.3333282470703
1695690302.4134724,60,162.6666717529297
1695690304.976614,61,200.0
1695690307.4958396,62,200.0
1695690309.9900987,63,200.0
1695690312.5210485,64,200.0
1695690315.0710323,65,200.0
1695690317.602214,66,200.0
1695690320.080832,67,200.0
1695690322.5970798,68,200.0
1695690325.1982615,69,200.0
1695690327.7285886,70,200.0
1695690330.2328656,71,200.0
1695690332.7796164,72,200.0
1695690335.2790484,73,200.0
1695690337.8506918,74,200.0
1695690340.3608813,75,200.0
1695690342.9257882,76,200.0
1695690345.400673,77,200.0
1695690347.8798788,78,200.0
1695690350.4065518,79,200.0
1695690352.90887,80,200.0
1695690355.4685953,81,200.0
1695690358.0115879,82,200.0
1695690360.5172794,83,200.0
1695690363.0491798,84,200.0
1695690365.5752702,85,200.0
1695690368.0699737,86,200.0
1695690370.5918853,87,200.0
1695690373.1116812,88,200.0
1695690375.6153464,89,200.0
1695690378.1076627,90,200.0
1695690380.5799716,91,200.0
1695690383.107717,92,200.0
1695690385.6419525,93,200.0
1695690388.124866,94,200.0
1695690390.6283627,95,200.0
1695690393.142969,96,200.0
1695690395.6730235,97,200.0
1695690398.2135894,98,200.0
1695690400.710015,99,200.0
