Wall time,Step,Value
1695690776.6202304,0,34.5
1695690780.5259812,1,41.0
1695690784.5247443,2,56.875
1695690788.8657472,3,89.19999694824219
1695690793.0098414,4,83.0
1695690796.9485304,5,83.19999694824219
1695690801.13469,6,82.4000015258789
1695690806.7928832,7,107.4000015258789
1695690810.7907765,8,115.5
1695690815.041969,9,163.6666717529297
1695690819.1261563,10,160.0
1695690823.2025924,11,168.3333282470703
1695690827.1950774,12,149.6666717529297
1695690831.3691423,13,163.0
1695690835.6026082,14,181.6666717529297
1695690839.8001645,15,176.3333282470703
1695690843.8129244,16,200.0
1695690848.0016575,17,161.3333282470703
1695690852.2254405,18,200.0
1695690856.349113,19,200.0
1695690860.3226607,20,200.0
1695690864.3073857,21,200.0
1695690868.3966062,22,200.0
1695690872.363691,23,200.0
1695690876.4779685,24,200.0
1695690880.5017507,25,200.0
1695690884.4394062,26,200.0
1695690888.4703174,27,200.0
1695690892.5067306,28,200.0
1695690896.6177046,29,200.0
1695690900.6105812,30,200.0
1695690904.5944052,31,200.0
1695690908.589276,32,200.0
1695690912.6180198,33,200.0
1695690916.873031,34,169.6666717529297
1695690920.9777205,35,171.6666717529297
1695690925.2329032,36,177.3333282470703
1695690929.5953617,37,156.6666717529297
1695690933.7165363,38,192.0
1695690937.8614247,39,200.0
1695690941.942399,40,200.0
1695690945.8675904,41,200.0
1695690950.9369524,42,200.0
1695690958.0462923,43,200.0
1695690962.783963,44,200.0
1695690967.7510996,45,200.0
1695690971.9439414,46,200.0
1695690976.0725396,47,200.0
1695690980.0988488,48,200.0
1695690984.3963325,49,200.0
1695690988.4175608,50,200.0
1695690992.5172672,51,200.0
1695690996.6886694,52,200.0
1695691000.6795905,53,200.0
1695691004.8684657,54,170.6666717529297
1695691009.082592,55,200.0
1695691013.3074589,56,200.0
1695691017.6071444,57,200.0
1695691021.6677582,58,200.0
1695691025.7359395,59,200.0
1695691029.7215996,60,200.0
1695691033.7666311,61,200.0
1695691038.8893394,62,200.0
1695691044.6834466,63,200.0
1695691049.6472678,64,200.0
1695691054.4876344,65,200.0
1695691058.7919662,66,200.0
1695691063.419216,67,200.0
1695691068.3285594,68,200.0
1695691073.297383,69,200.0
1695691077.7676694,70,200.0
1695691082.3494613,71,200.0
1695691087.4410286,72,200.0
1695691092.669565,73,200.0
1695691097.0116851,74,200.0
1695691101.0009108,75,200.0
1695691105.035032,76,200.0
1695691109.2533405,77,199.0
1695691113.5656126,78,191.3333282470703
1695691117.6362765,79,179.6666717529297
1695691121.7473676,80,167.3333282470703
1695691125.9755702,81,159.0
1695691132.0877495,82,150.6666717529297
1695691137.9353359,83,166.3333282470703
1695691142.1147368,84,177.6666717529297
1695691146.2666423,85,184.6666717529297
1695691150.3148189,86,200.0
1695691154.2706974,87,200.0
1695691158.3657255,88,200.0
1695691162.6508718,89,196.0
1695691166.8120403,90,200.0
1695691170.9574487,91,186.3333282470703
1695691175.0982285,92,193.3333282470703
1695691179.3651361,93,189.0
1695691183.5249906,94,171.0
1695691187.7125902,95,178.6666717529297
1695691192.0077174,96,189.3333282470703
1695691196.2806196,97,189.3333282470703
1695691200.7965426,98,181.0
1695691205.0091164,99,194.6666717529297
