Wall time,Step,Value
1695702626.8892171,0,5009.0
1695702629.7118666,1,10023.0
1695702632.4351165,2,15037.0
1695702635.1505775,3,20058.0
1695702637.8408074,4,25065.0
1695702640.5223672,5,30072.0
1695702643.1509507,6,35083.0
1695702645.832598,7,40125.0
1695702648.424571,8,45137.0
1695702651.1666145,9,50206.0
1695702653.91525,10,55212.0
1695702657.3237834,11,60223.0
1695702659.9764316,12,65270.0
1695702662.6889296,13,70270.0
1695702665.3492239,14,75314.0
1695702668.1059022,15,80405.0
1695702670.7622705,16,85436.0
1695702673.4794888,17,90509.0
1695702676.234414,18,95548.0
1695702679.4002326,19,100660.0
1695702682.203347,20,105693.0
1695702685.0208576,21,110738.0
1695702687.8531828,22,115815.0
1695702690.661069,23,120868.0
1695702694.2563834,24,125992.0
1695702697.2015748,25,131003.0
1695702700.092125,26,136071.0
1695702703.2776387,27,141220.0
1695702706.4155154,28,146247.0
1695702709.138747,29,151275.0
1695702712.2526362,30,156356.0
1695702715.5574265,31,161562.0
1695702718.6524417,32,166645.0
1695702721.4376953,33,171723.0
1695702724.3345163,34,176794.0
1695702727.3161905,35,181843.0
1695702730.1711614,36,186952.0
1695702733.2048993,37,192082.0
1695702736.6053338,38,197197.0
1695702739.8779542,39,202281.0
1695702743.0838358,40,207390.0
1695702746.431492,41,212437.0
1695702749.606598,42,217452.0
1695702752.6927059,43,222628.0
1695702756.189096,44,227804.0
1695702759.011339,45,232944.0
1695702761.8877084,46,238123.0
1695702765.340818,47,243328.0
1695702768.3226817,48,248499.0
1695702771.318934,49,253577.0
1695702774.4681475,50,258791.0
1695702777.6560068,51,264060.0
1695702780.6826453,52,269311.0
1695702783.6241114,53,274697.0
1695702786.6798787,54,279786.0
1695702789.7058523,55,285074.0
1695702792.7282217,56,290121.0
1695702795.7849176,57,295129.0
1695702798.9924572,58,300645.0
1695702802.6698916,59,305902.0
1695702805.91905,60,311048.0
1695702809.312827,61,316465.0
1695702812.9517136,62,321653.0
1695702816.5051382,63,327216.0
1695702819.975539,64,332648.0
1695702823.1951227,65,337649.0
1695702826.3503036,66,342856.0
1695702829.6911902,67,348541.0
1695702832.8642955,68,354394.0
1695702836.348775,69,360297.0
1695702839.758392,70,365310.0
1695702842.9698598,71,370468.0
1695702846.78925,72,376209.0
1695702850.0556061,73,381708.0
1695702853.0192626,74,386708.0
1695702856.040923,75,391708.0
1695702860.3075671,76,397696.0
1695702863.9856308,77,402883.0
1695702866.9880004,78,407883.0
1695702870.2796738,79,412883.0
1695702874.436374,80,417883.0
1695702878.0065827,81,422883.0
1695702882.6207607,82,427883.0
1695702887.517008,83,432883.0
1695702891.5139186,84,438260.0
1695702895.089754,85,443260.0
1695702899.7286546,86,448260.0
1695702902.9412045,87,453260.0
1695702906.4415274,88,458260.0
1695702909.7311525,89,463260.0
1695702913.1809034,90,468260.0
1695702916.3831356,91,473260.0
1695702919.971343,92,478260.0
1695702923.1107347,93,483260.0
1695702926.1149333,94,488260.0
1695702929.0825562,95,493260.0
1695702932.104449,96,498260.0
1695702935.1160185,97,503260.0
1695702938.3088493,98,508260.0
1695702941.509106,99,513260.0
