Wall time,Step,Value
1695709975.0001676,0,22.3157901763916
1695709975.8231673,1,18.68181800842285
1695709976.6294887,2,40.099998474121094
1695709977.4284031,3,31.076923370361328
1695709978.2194002,4,31.0
1695709979.0877335,5,36.83333206176758
1695709979.9475024,6,40.099998474121094
1695709980.7650166,7,48.11111068725586
1695709981.5907722,8,45.22222137451172
1695709982.4569697,9,48.33333206176758
1695709983.3227446,10,171.0
1695709984.2123978,11,144.0
1695709985.1834016,12,134.5
1695709986.1421204,13,98.5999984741211
1695709987.1701498,14,98.5999984741211
1695709988.0291216,15,82.0
1695709988.921104,16,212.0
1695709989.8220978,17,171.6666717529297
1695709990.7400978,18,128.0
1695709991.579772,19,140.3333282470703
1695709992.4244747,20,215.5
1695709993.486474,21,363.5
1695709994.4098155,22,266.0
1695709995.2404187,23,40.818180084228516
1695709996.1436143,24,60.5
1695709997.0681324,25,228.5
1695709998.0187886,26,194.6666717529297
1695709998.992148,27,175.6666717529297
1695709999.815145,28,156.0
1695710000.7115138,29,194.0
1695710001.6959844,30,192.0
1695710002.5258954,31,208.0
1695710003.4105742,32,182.3333282470703
1695710004.2974765,33,536.0
1695710005.226479,34,209.0
1695710006.180305,35,271.0
1695710007.1632576,36,180.0
1695710008.0055223,37,153.0
1695710008.8544426,38,134.6666717529297
1695710009.7214427,39,109.5
1695710010.5434122,40,123.0
1695710011.3873763,41,74.66666412353516
1695710012.2850044,42,94.4000015258789
1695710013.1529715,43,69.0
1695710014.0294054,44,73.83333587646484
1695710014.830407,45,60.85714340209961
1695710015.724498,46,74.5
1695710016.549649,47,54.25
1695710017.4592137,48,90.80000305175781
1695710018.3144968,49,65.14286041259766
