Wall time,Step,Value
1695710086.8616142,0,1003.0
1695710087.7265756,1,2009.0
1695710088.754137,2,3017.0
1695710089.8941355,3,4022.0
1695710090.9492495,4,5068.0
1695710091.88713,5,6088.0
1695710092.7679634,6,7089.0
1695710093.7809715,7,8128.0
1695710094.6516771,8,9175.0
1695710095.5530396,9,10203.0
1695710096.4630682,10,11231.0
1695710097.3627024,11,12272.0
1695710098.3402147,12,13413.0
1695710099.9549468,13,14425.0
1695710100.9650834,14,15540.0
1695710101.839094,15,16617.0
1695710102.719727,16,17661.0
1695710103.7162726,17,18687.0
1695710104.888273,18,19783.0
1695710106.0773811,19,20845.0
1695710107.1215875,20,21866.0
1695710108.0765889,21,22895.0
1695710109.0185876,22,23938.0
1695710110.2867804,23,25001.0
1695710113.6059642,24,26107.0
1695710114.603784,25,27206.0
1695710115.972785,26,28325.0
1695710117.3955545,27,29756.0
1695710118.2738442,28,30756.0
1695710119.2807734,29,31756.0
1695710120.9150105,30,33589.0
1695710122.2233129,31,34785.0
1695710123.3690574,32,35785.0
1695710124.528742,33,36785.0
1695710125.6583507,34,37785.0
1695710126.5340397,35,38785.0
1695710127.7350578,36,40012.0
1695710128.819382,37,41012.0
1695710129.9839447,38,42012.0
1695710131.078656,39,43012.0
1695710132.2825458,40,44012.0
1695710133.3837872,41,45012.0
1695710134.4084365,42,46012.0
1695710135.247805,43,47012.0
1695710136.1478024,44,48128.0
1695710137.3598034,45,49181.0
1695710138.492759,46,50181.0
1695710139.6319883,47,51181.0
1695710140.7389874,48,52181.0
1695710141.8239877,49,53181.0
