Wall time,Step,Value
1695682314.3966036,0,1000.0
1695682315.3866038,1,2013.0
1695682316.4170942,2,3016.0
1695682317.4890897,3,4039.0
1695682318.4026592,4,5081.0
1695682319.374334,5,6104.0
1695682320.5299978,6,7165.0
1695682321.8880177,7,8187.0
1695682323.2654738,8,9239.0
1695682324.6230216,9,10388.0
1695682325.998144,10,11550.0
1695682327.0941184,11,12628.0
1695682328.3114629,12,13631.0
1695682329.498608,13,14712.0
1695682330.561924,14,15748.0
1695682331.750088,15,16804.0
1695682333.0525715,16,17876.0
1695682334.1538763,17,18931.0
1695682335.2158458,18,20053.0
1695682336.2094955,19,21149.0
1695682337.1817515,20,22188.0
1695682338.142902,21,23209.0
1695682339.2586076,22,24219.0
1695682340.2062447,23,25230.0
1695682341.0958285,24,26246.0
1695682342.035375,25,27279.0
1695682342.9796562,26,28287.0
1695682343.9058585,27,29304.0
1695682344.7911158,28,30306.0
1695682345.9218953,29,31330.0
1695682346.9256353,30,32343.0
1695682347.9699543,31,33363.0
1695682348.9250581,32,34392.0
1695682349.8535407,33,35397.0
1695682350.7868583,34,36449.0
1695682351.7147548,35,37459.0
1695682352.6632197,36,38499.0
1695682353.6415975,37,39520.0
1695682354.6469355,38,40543.0
1695682355.597336,39,41575.0
1695682356.5773869,40,42575.0
1695682357.5483847,41,43618.0
1695682358.6216462,42,44627.0
1695682359.5974734,43,45697.0
1695682360.5880501,44,46778.0
1695682361.64631,45,47833.0
1695682362.567497,46,48872.0
1695682363.5534735,47,49913.0
1695682364.6160202,48,50987.0
1695682365.6986735,49,52028.0
1695682366.7460325,50,53096.0
1695682367.7943692,51,54164.0
1695682368.8169732,52,55183.0
1695682369.8341005,53,56197.0
1695682370.8661034,54,57305.0
1695682371.82265,55,58312.0
1695682372.7709193,56,59352.0
1695682373.7802925,57,60411.0
1695682374.8261817,58,61415.0
1695682375.898343,59,62456.0
1695682377.0320492,60,63539.0
1695682377.9665442,61,64545.0
1695682378.9654615,62,65562.0
1695682380.0354445,63,66642.0
1695682380.9905996,64,67655.0
1695682382.3656113,65,68692.0
1695682383.4267046,66,69743.0
1695682384.4306986,67,70774.0
1695682385.4169493,68,71809.0
1695682386.4989505,69,72809.0
1695682387.5150673,70,73850.0
1695682388.489112,71,74911.0
1695682389.4283845,72,75912.0
1695682390.309197,73,76931.0
1695682391.2387342,74,77995.0
1695682392.161193,75,79001.0
1695682393.04605,76,80004.0
1695682393.9422333,77,81040.0
1695682394.8537087,78,82057.0
1695682395.8970125,79,83057.0
1695682396.9053373,80,84063.0
1695682397.8468335,81,85095.0
1695682398.8358698,82,86140.0
1695682399.9289396,83,87194.0
1695682400.8703332,84,88256.0
1695682401.9482307,85,89324.0
1695682403.047231,86,90408.0
1695682404.2056081,87,91457.0
1695682405.222166,88,92490.0
1695682406.1878872,89,93504.0
1695682407.1663182,90,94504.0
1695682408.1959882,91,95559.0
1695682409.1286273,92,96573.0
1695682410.1330924,93,97616.0
1695682411.0991292,94,98631.0
1695682412.1206079,95,99638.0
1695682413.2006326,96,100706.0
1695682414.3241057,97,101902.0
1695682415.5546455,98,103084.0
1695682416.454812,99,104150.0
